time ,flight no ,Air line,aircraft type,business,economy,,,,,,,,,,,,
00.00 -06.00,VJ896,VietJet Air,	Airbus A330,12,365,,time,business,economy,TOTAL ,,,,,,,
,AC51,Air Canada,Boeing 787-9 Dreamliner ,30,268,,00.00 -06.00,992,9137,10129,0.4886433832,4949.468828,13.74852452,0.5773171696,5847.64561,16.24346003,
,AF225,Air France,Boeing 777-200,28,300,,06.00 - 12.00,624,7303,7927,0.4886433832,3873.476098,10.75965583,0.5773171696,4576.393203,12.71220334,
,AI302,Air India,	Boeing 787-8 ,18,238,,12.00-18.00,538,5804,6342,0.4886433832,3098.976336,8.6082676,0.5773171696,3661.345489,10.17040414,
,AI312,Air India,Boeing 787-8 ,18,238,,18.00-24.00,808,8280,9088,0.4886433832,4440.791066,12.33553074,0.5773171696,5246.658437,14.57405121,
,LX147,Swiss,Airbus A330-300 ,53,183,,,2962,30524,,,,,,,,0.09703839602
,KC964,Air Astana,Airbus A321,28,151,,,,GRAND total ,33486,1.954573533,16362.71233,45.45197869,2.309268678,19332.04274,,
,CX694,Cathay Pacific,	Airbus A350-900,38,242,,,,,,,,,,,,
,BA142,British Airways,	Boeing 787-8 ,35,179,,,,year total ,12222390,,,,,,,
,AI187,Air India,BOEING 777-300ER,39,306,,,,,,,,,,,,
,AI2336,Air India,Airbus A320,12,138,,,,international total ,12222390,,,,,,,
,W570,Mahan Air,Airbus A340-300,30,269,,,,,,,,,,,,
,LH763,Lufthansa,	Airbus A380-800,86,473,,,,,,,,,,,,
,TG336,Thai Airways International,Airbus A320,12,144,,,,,,,,,,,,
,AI105,Air India,Airbus A321,12,170,,,,,,,,,,,,
,AI378,Air India,Airbus A320,12,138,,,,,,,,,,,,
,VS303,Virgin Atlantic,Airbus A350-1000,44,291,,,,,,,,,,,,
,ET687,Ethiopian Airlines,	Boeing 787-8,24,246,,,,,,,,,,,,
,LH761,Lufthansa,	Airbus A340-300,30,249,,,,,,,,,,,,
,AZ769,ITA Airways,Airbus A330 (twin-jet),20,236,,,,,,,,,,,,
,TG332,Thai Airways International,Boeing 787-8 ,22,234,,,,,,,,,,,,
,AI277,Air India,	Airbus A321 ,12,170,,,,,,,,,,,,
,QR579,Qatar Airways,	Airbus A350-900 ,36,247,,,,,,,,,,,,
,AI101,Air India,Airbus A350-900,28,288,,,,,,,,,,,,
,KL872,KLM Royal Dutch Airlines,	BOEING 787-10 Dreamliner,38,280,,,,,,,,,,,,
,FZ442,Flydubai,	Boeing 737 MAX 8,10,156,,,,,,,,,,,,
,EK513,Emirates,BOEING 777-300ER,50,304,,,,,,,,,,,,
,XY330,Flynas,Airbus A320neo,0,174,,,,,,,,,,,,
,6E1307,IndiGo,Airbus A320neo ,0,186,,,,,,,,,,,,
,AI185,Air India,BOEING 777-300ER,39,306,,,,,,,,,,,,
,G9464,Air Arabia,Airbus A320,12,138,,,,,,,,,,,,
,EY219,Etihad Airways,	Boeing 787-9 Dreamliner ,28,262,,,,,,,,,,,,
,GF131,Gulf Air,Airbus A321,8,161,,,,,,,,,,,,
,AI2025,Air India,Boeing 787-9 Dreamliner,30,269,,,,,,,,,,,,
,SU233,Aeroflot,	BOEING 777-300ER,30,372,,,,,,,,,,,,
,UL192,SriLankan Airlines,Airbus A320 ,16,120,,,,,,,,,,,,
,6E1707,IndiGo,Airbus A321neo ,12,208,,,,,,,,,,,,
,AI215,,	Airbus A320neo,12,150,,,,,,,,,,,,
,AI161,,Airbus A350-900,28,288,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
06.00 - 12.00,AI173,,BOEING 777-200LR,43,195,,,,,,,,,,,,
,6E1073,,Airbus A321neo,12,208,,,,,,,,,,,,
,TK717,Turkish Airlines,Airbus A330-300 ,28,261,,,,,,,,,,,,
,AI111,,Airbus A350-900,28,288,,,,,,,,,,,,
,600000000000,,	BOEING 777-300ER ,7,524,,,,,,,,,,,,
,B2758,Belavia,Boeing 737 MAX 8,12,162,,,,,,,,,,,,
,AI213,,Airbus A320 (twin-jet),12,138,,,,,,,,,,,,
,KU384,Kuwait Airways,Airbus A320neo (twin-jet) ,12,122,,,,,,,,,,,,
,AY122,Finnair,Airbus A330-300,28,251,,,,,,,,,,,,
,SG11,SpiceJet,	Boeing 737 MAX 8 (twin-jet),0,189,,,,,,,,,,,,
,6E1151,,Airbus A320neo,0,186,,,,,,,,,,,,
,SG41,,	Boeing 737-800 (twin-jet) ,0,186,,,,,,,,,,,,
,AI239,,Airbus A320 (twin-jet),12,138,,,,,,,,,,,,
,AI2355,,	Airbus A320 (twin-jet),12,138,,,,,,,,,,,,
,IX135,,Airbus A320neo (twin-jet),0,186,,,,,,,,,,,,
,6E1461,,	Airbus A321 (twin-jet),12,208,,,,,,,,,,,,
,WY242,Oman Air,	Boeing 737-800 (twin-jet) ,12,150,,,,,,,,,,,,
,SQ401,Singapore Airlines,BOEING 787-10 Dreamliner,36,301,,,,,,,,,,,,
,6E1368,,Airbus A321 ,12,208,,,,,,,,,,,,
,EY213,Etihad Airways,Airbus A321,8,188,,,,,,,,,,,,
,ET689,Ethiopian Airlines,	Boeing 787-8,24,246,,,,,,,,,,,,
,6E1081,,Airbus A320neo,0,186,,,,,,,,,,,,
,BA256,British Airways,Airbus A350-1000,56,275,,,,,,,,,,,,
,6E1726,,	Airbus A321,12,208,,,,,,,,,,,,
,QR571,Qatar Airways,	Boeing 787-8,22,232,,,,,,,,,,,,
,AI917,,Airbus A319 ,8,114,,,,,,,,,,,,
,B3774,Bhutan Airlines,Airbus A319 ,12,114,,,,,,,,,,,,
,AI2115,,Airbus A321Â ,12,170,,,,,,,,,,,,
,AI2332,,	Airbus A320,12,138,,,,,,,,,,,,
,EK511,Emirates,BOEING 777-300ER,50,304,,,,,,,,,,,,
,AI217,,Airbus A320,12,138,,,,,,,,,,,,
,6E1153,,Airbus A320neo,0,186,,,,,,,,,,,,
,VS301,Virgin Atlantic,Boeing 787-9 Dreamliner,31,227,,,,,,,,,,,,
,TG324,Thai Airways International,	Airbus A330-300,31,263,,,,,,,,,,,,
,BA256,,Airbus A350-1000,56,275,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12.00-18.00,MS974,EgyptAir,	Airbus A320neo,16,126,,,,,,,,,,,,
,AI155,,	BOEING 777-300ER,39,306,,,,,,,,,,,,
,AI281,,	Airbus A321,12,170,,,,,,,,,,,,
,KB201,Drukair,Airbus A319,16,102,,,,,,,,,,,,
,6E1103,,	Airbus A321neo,12,208,,,,,,,,,,,,
,AI376,,Airbus A320neo,12,150,,,,,,,,,,,,
,AI384,,	Airbus A320 ,12,138,,,,,,,,,,,,
,AI143,,	Boeing 787-8,18,238,,,,,,,,,,,,
,AI388,,Airbus A320,12,138,,,,,,,,,,,,
,AI2015,,	Boeing 787-9 Dreamliner,30,269,,,,,,,,,,,,
,AI2017,,	Boeing 787-9 Dreamliner,30,269,,,,,,,,,,,,
,6E1155,,Airbus A320neo,0,186,,,,,,,,,,,,
,AI2382,,Airbus A321,12,170,,,,,,,,,,,,
,HY424,Uzbekistan Airways,Boeing 787-8 ,24,246,,,,,,,,,,,,
,AI137,,	Boeing 787-8,18,238,,,,,,,,,,,,
,AI2029,,	Boeing 787-9,30,269,,,,,,,,,,,,
,AI925,,Airbus A320 ,12,138,,,,,,,,,,,,
,AI151,,Boeing 787-8,18,238,,,,,,,,,,,,
,AI2304,,Airbus A320,12,138,,,,,,,,,,,,
,AI429,,	Airbus A320,12,138,,,,,,,,,,,,
,AI2219,,	Airbus A320neo,12,150,,,,,,,,,,,,
,KC908,Air Astana,Airbus A321 ,28,151,,,,,,,,,,,,
,EY215,Etihad Airways,	Airbus A320 ,8,150,,,,,,,,,,,,
,WY246,Oman Air,	Boeing 737-800,12,150,,,,,,,,,,,,
,EK517,Emirates,BOEING 777-300ER,50,304,,,,,,,,,,,,
,RA218,Nepal Airlines,	Airbus A330-200,18,256,,,,,,,,,,,,
,AI991,,	Airbus A320 ,12,138,,,,,,,,,,,,
,6E1345,,Airbus A320neo,0,186,,,,,,,,,,,,
,AI237,,	Airbus A320,12,138,,,,,,,,,,,,
,AI915,,BOEING 777-300ER,39,306,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18.00-24.00,NH838,ANA All Nippon Airways,Boeing 787-9 Dreamliner,40,206,,,,,,,,,,,,
,AI211,,Airbus A320,12,138,,,,,,,,,,,,
,SV761,Saudia,BOEING 777-300 ,30,383,,,,,,,,,,,,
,G9466,Air Arabia,Airbus A320 ,0,168,,,,,,,,,,,,
,6E1463,,Airbus A321,12,208,,,,,,,,,,,,
,UL196,SriLankan Airlines,	Airbus A320 ,16,120,,,,,,,,,,,,
,SG5,,	Boeing 737 MAX 8 ,0,189,,,,,,,,,,,,
,JL30,JAL,	Boeing 787-9 Dreamliner,44,151,,,,,,,,,,,,
,AI2283,,	Airbus A320,12,138,,,,,,,,,,,,
,6E1807,,	Airbus A320neo,0,186,,,,,,,,,,,,
,IX163,,	Airbus A320,0,180,,,,,,,,,,,,
,AI358,,Boeing 787-8,18,238,,,,,,,,,,,,
,SV759,Saudia,BOEING 777-300,30,383,,,,,,,,,,,,
,6E1231,,	Airbus A320neo,0,186,,,,,,,,,,,,
,AI995,,	Boeing 787-8,18,238,,,,,,,,,,,,
,6E1405,,Airbus A321neo ,12,208,,,,,,,,,,,,
,6E+63,,	Airbus A321neo ,12,208,,,,,,,,,,,,
,EY217,Etihad Airways,	Airbus A350-1000,44,327,,,,,,,,,,,,
,IX127,,	Airbus A320neo,0,186,,,,,,,,,,,,
,AI2231,,	Airbus A320neo,12,150,,,,,,,,,,,,
,GF135,Gulf Air,Airbus A321neo,12,180,,,,,,,,,,,,
,AI2145,,Airbus A321,12,170,,,,,,,,,,,,
,SQ403,Singapore Airlines,Airbus A380-800,84,387,,,,,,,,,,,,
,EK515,Emirates,	BOEING 777-300ER,50,304,,,,,,,,,,,,
,6E+71,,Airbus A320neo,0,186,,,,,,,,,,,,
,OD206,Batik Air Malaysia,Boeing 737-800 ,12,150,,,,,,,,,,,,
,6E+83,,	Airbus A321,12,208,,,,,,,,,,,,
,AI314,,	Airbus A321,12,170,,,,,,,,,,,,
,CX698,Cathay Pacific,	BOEING 777-300ER,40,328,,,,,,,,,,,,
,AC43,Air Canada,BOEING 777-200LR,40,260,,,,,,,,,,,,
,MH191,Malaysia Airlines,Airbus A330-300,27,263,,,,,,,,,,,,
,AI2380,,	Boeing 787-9 Dreamliner ,30,269,,,,,,,,,,,,
,TG316,Thai Airways International,BOEING 777-300ER,42,306,,,,,,,,,,,,
,AA293,American Airlines,	Boeing 787-9 Dreamliner,30,255,,,,,,,,,,,,
,K6761,Air Cambodia,	Airbus A321,16,168,,,,,,,,,,,,
,UA83,United Airlines,	Boeing 787-9 Dreamliner,48,209,,,,,,,,,,,,
,VN976,Vietnam Airlines,Airbus A350-900,29,276,,,,,,,,,,,,